Date,Ratio Name,Ratio Value
2023-01-04,TOTAL PUT/CALL RATIO,1.12
2023-01-06,TOTAL PUT/CALL RATIO,0.99
2023-01-09,TOTAL PUT/CALL RATIO,0.89
2023-01-10,TOTAL PUT/CALL RATIO,0.98
2023-01-11,TOTAL PUT/CALL RATIO,0.96
2023-01-12,TOTAL PUT/CALL RATIO,0.96
2023-01-13,TOTAL PUT/CALL RATIO,0.93
2023-01-17,TOTAL PUT/CALL RATIO,0.97
2023-01-18,TOTAL PUT/CALL RATIO,1.22
2023-01-19,TOTAL PUT/CALL RATIO,0.99
2023-01-20,TOTAL PUT/CALL RATIO,0.85
2023-01-24,TOTAL PUT/CALL RATIO,1.03
2023-01-25,TOTAL PUT/CALL RATIO,0.99
2023-01-26,TOTAL PUT/CALL RATIO,0.89
2023-01-27,TOTAL PUT/CALL RATIO,0.84
2023-01-30,TOTAL PUT/CALL RATIO,0.91
2023-01-31,TOTAL PUT/CALL RATIO,0.92
2023-02-01,TOTAL PUT/CALL RATIO,0.90
2023-02-02,TOTAL PUT/CALL RATIO,0.80
2023-02-03,TOTAL PUT/CALL RATIO,0.91
2023-02-06,TOTAL PUT/CALL RATIO,0.85
2023-02-07,TOTAL PUT/CALL RATIO,0.91
2023-02-08,TOTAL PUT/CALL RATIO,0.90
2023-02-10,TOTAL PUT/CALL RATIO,1.03
2023-02-13,TOTAL PUT/CALL RATIO,0.92
2023-02-14,TOTAL PUT/CALL RATIO,0.96
2023-02-15,TOTAL PUT/CALL RATIO,0.93
2023-02-16,TOTAL PUT/CALL RATIO,0.89
2023-02-17,TOTAL PUT/CALL RATIO,1.03
2023-02-21,TOTAL PUT/CALL RATIO,0.98
2023-02-22,TOTAL PUT/CALL RATIO,1.13
2023-02-23,TOTAL PUT/CALL RATIO,1.04
2023-02-24,TOTAL PUT/CALL RATIO,1.11
2023-02-28,TOTAL PUT/CALL RATIO,1.02
2023-03-01,TOTAL PUT/CALL RATIO,1.13
2023-03-02,TOTAL PUT/CALL RATIO,1.09
2023-03-06,TOTAL PUT/CALL RATIO,1.00
2023-03-07,TOTAL PUT/CALL RATIO,0.87
