Date,Ratio Name,Ratio Value
2023-03-08,TOTAL PUT/CALL RATIO,0.99
2023-03-09,TOTAL PUT/CALL RATIO,1.04
2023-03-10,TOTAL PUT/CALL RATIO,1.23
2023-03-13,TOTAL PUT/CALL RATIO,1.02
2023-03-15,TOTAL PUT/CALL RATIO,1.00
2023-03-17,TOTAL PUT/CALL RATIO,0.98
2023-03-20,TOTAL PUT/CALL RATIO,0.80
2023-03-21,TOTAL PUT/CALL RATIO,1.03
2023-03-23,TOTAL PUT/CALL RATIO,1.12
2023-03-24,TOTAL PUT/CALL RATIO,1.10
2023-03-27,TOTAL PUT/CALL RATIO,0.94
2023-03-28,TOTAL PUT/CALL RATIO,1.09
2023-03-29,TOTAL PUT/CALL RATIO,0.98
2023-03-30,TOTAL PUT/CALL RATIO,0.95
2023-04-03,TOTAL PUT/CALL RATIO,0.94
2023-04-04,TOTAL PUT/CALL RATIO,1.11
2023-04-05,TOTAL PUT/CALL RATIO,1.00
2023-04-06,TOTAL PUT/CALL RATIO,1.00
2023-04-11,TOTAL PUT/CALL RATIO,1.02
2023-04-12,TOTAL PUT/CALL RATIO,1.00
2023-04-14,TOTAL PUT/CALL RATIO,0.91
2023-04-17,TOTAL PUT/CALL RATIO,1.02
2023-04-18,TOTAL PUT/CALL RATIO,0.92
2023-04-19,TOTAL PUT/CALL RATIO,1.02
2023-04-20,TOTAL PUT/CALL RATIO,0.99
2023-04-21,TOTAL PUT/CALL RATIO,0.89
2023-04-24,TOTAL PUT/CALL RATIO,0.87
2023-04-25,TOTAL PUT/CALL RATIO,1.01
2023-04-26,TOTAL PUT/CALL RATIO,1.07
2023-04-27,TOTAL PUT/CALL RATIO,1.01
2023-04-28,TOTAL PUT/CALL RATIO,0.98
2023-05-01,TOTAL PUT/CALL RATIO,0.98
2023-05-02,TOTAL PUT/CALL RATIO,1.02
2023-05-03,TOTAL PUT/CALL RATIO,1.11
2023-05-04,TOTAL PUT/CALL RATIO,0.91
2023-05-05,TOTAL PUT/CALL RATIO,0.95
2023-05-08,TOTAL PUT/CALL RATIO,1.04
2023-05-09,TOTAL PUT/CALL RATIO,0.93
2023-05-10,TOTAL PUT/CALL RATIO,0.96
2023-05-11,TOTAL PUT/CALL RATIO,0.90
2023-05-12,TOTAL PUT/CALL RATIO,0.92
2023-05-15,TOTAL PUT/CALL RATIO,0.94
2023-05-16,TOTAL PUT/CALL RATIO,0.94
2023-05-17,TOTAL PUT/CALL RATIO,0.99
2023-05-18,TOTAL PUT/CALL RATIO,0.82
2023-05-19,TOTAL PUT/CALL RATIO,0.90
2023-05-22,TOTAL PUT/CALL RATIO,0.82
2023-05-24,TOTAL PUT/CALL RATIO,1.06
2023-05-25,TOTAL PUT/CALL RATIO,0.90
2023-05-26,TOTAL PUT/CALL RATIO,0.88
2023-05-30,TOTAL PUT/CALL RATIO,0.90
2023-05-31,TOTAL PUT/CALL RATIO,1.06
2023-06-02,TOTAL PUT/CALL RATIO,0.76
2023-06-05,TOTAL PUT/CALL RATIO,0.97
2023-06-06,TOTAL PUT/CALL RATIO,0.93
2023-06-07,TOTAL PUT/CALL RATIO,0.90
2023-06-08,TOTAL PUT/CALL RATIO,0.87
2023-06-09,TOTAL PUT/CALL RATIO,0.84
2023-06-12,TOTAL PUT/CALL RATIO,0.88
2023-06-13,TOTAL PUT/CALL RATIO,0.82
2023-06-14,TOTAL PUT/CALL RATIO,1.01
2023-06-15,TOTAL PUT/CALL RATIO,0.88
2023-06-16,TOTAL PUT/CALL RATIO,0.82
2023-06-20,TOTAL PUT/CALL RATIO,0.84
2023-06-21,TOTAL PUT/CALL RATIO,0.91
2023-06-22,TOTAL PUT/CALL RATIO,0.83
2023-06-23,TOTAL PUT/CALL RATIO,0.89
2023-06-26,TOTAL PUT/CALL RATIO,0.90
2023-06-27,TOTAL PUT/CALL RATIO,0.92
2023-06-28,TOTAL PUT/CALL RATIO,0.84
2023-06-29,TOTAL PUT/CALL RATIO,0.87
2023-06-30,TOTAL PUT/CALL RATIO,0.88
2023-07-03,TOTAL PUT/CALL RATIO,0.84
2023-07-05,TOTAL PUT/CALL RATIO,0.95
2023-07-06,TOTAL PUT/CALL RATIO,0.93
2023-07-07,TOTAL PUT/CALL RATIO,0.83
2023-07-10,TOTAL PUT/CALL RATIO,0.86
2023-07-11,TOTAL PUT/CALL RATIO,0.74
2023-07-12,TOTAL PUT/CALL RATIO,0.86
2023-07-13,TOTAL PUT/CALL RATIO,0.83
2023-07-14,TOTAL PUT/CALL RATIO,0.84
2023-07-17,TOTAL PUT/CALL RATIO,0.84
2023-07-18,TOTAL PUT/CALL RATIO,0.78
2023-07-19,TOTAL PUT/CALL RATIO,0.83
2023-07-20,TOTAL PUT/CALL RATIO,0.87
2023-07-21,TOTAL PUT/CALL RATIO,0.85
2023-07-24,TOTAL PUT/CALL RATIO,0.82
2023-07-25,TOTAL PUT/CALL RATIO,0.87
2023-07-26,TOTAL PUT/CALL RATIO,0.96
2023-07-27,TOTAL PUT/CALL RATIO,0.96
2023-07-28,TOTAL PUT/CALL RATIO,0.92
2023-07-31,TOTAL PUT/CALL RATIO,0.90
2023-08-01,TOTAL PUT/CALL RATIO,0.84
2023-08-02,TOTAL PUT/CALL RATIO,0.97
2023-08-03,TOTAL PUT/CALL RATIO,0.88
2023-08-04,TOTAL PUT/CALL RATIO,1.01
2023-08-08,TOTAL PUT/CALL RATIO,1.00
2023-08-10,TOTAL PUT/CALL RATIO,1.07
2023-08-11,TOTAL PUT/CALL RATIO,1.00
2023-08-14,TOTAL PUT/CALL RATIO,0.97
2023-08-16,TOTAL PUT/CALL RATIO,1.26
2023-08-17,TOTAL PUT/CALL RATIO,1.09
2023-08-18,TOTAL PUT/CALL RATIO,1.12
2023-08-21,TOTAL PUT/CALL RATIO,0.91
2023-08-22,TOTAL PUT/CALL RATIO,0.95
2023-08-23,TOTAL PUT/CALL RATIO,1.18
2023-08-25,TOTAL PUT/CALL RATIO,1.11
2023-08-28,TOTAL PUT/CALL RATIO,1.04
2023-08-29,TOTAL PUT/CALL RATIO,0.96
2023-08-30,TOTAL PUT/CALL RATIO,1.09
2023-09-01,TOTAL PUT/CALL RATIO,1.04
2023-09-05,TOTAL PUT/CALL RATIO,1.05
2023-09-06,TOTAL PUT/CALL RATIO,1.23
2023-09-07,TOTAL PUT/CALL RATIO,1.12
2023-09-08,TOTAL PUT/CALL RATIO,1.05
2023-09-11,TOTAL PUT/CALL RATIO,1.01
2023-09-12,TOTAL PUT/CALL RATIO,0.99
2023-09-14,TOTAL PUT/CALL RATIO,1.07
2023-09-15,TOTAL PUT/CALL RATIO,0.94
2023-09-19,TOTAL PUT/CALL RATIO,0.91
2023-09-20,TOTAL PUT/CALL RATIO,1.08
2023-09-21,TOTAL PUT/CALL RATIO,1.15
2023-09-22,TOTAL PUT/CALL RATIO,1.16
2023-09-25,TOTAL PUT/CALL RATIO,1.09
2023-09-26,TOTAL PUT/CALL RATIO,1.14
2023-09-27,TOTAL PUT/CALL RATIO,1.29
2023-09-28,TOTAL PUT/CALL RATIO,1.00
2023-09-29,TOTAL PUT/CALL RATIO,1.04
2023-10-02,TOTAL PUT/CALL RATIO,1.09
2023-10-03,TOTAL PUT/CALL RATIO,1.13
2023-10-04,TOTAL PUT/CALL RATIO,1.59
2023-10-06,TOTAL PUT/CALL RATIO,0.96
2023-10-09,TOTAL PUT/CALL RATIO,1.08
2023-10-10,TOTAL PUT/CALL RATIO,0.97
2023-10-11,TOTAL PUT/CALL RATIO,1.26
2023-10-12,TOTAL PUT/CALL RATIO,1.11
2023-10-13,TOTAL PUT/CALL RATIO,1.06
2023-10-17,TOTAL PUT/CALL RATIO,1.05
2023-10-18,TOTAL PUT/CALL RATIO,1.02
2023-10-19,TOTAL PUT/CALL RATIO,1.05
2023-10-20,TOTAL PUT/CALL RATIO,1.04
2023-10-23,TOTAL PUT/CALL RATIO,0.89
2023-10-24,TOTAL PUT/CALL RATIO,0.91
2023-10-25,TOTAL PUT/CALL RATIO,1.26
2023-10-26,TOTAL PUT/CALL RATIO,1.12
2023-10-27,TOTAL PUT/CALL RATIO,1.17
2023-10-30,TOTAL PUT/CALL RATIO,1.09
2023-10-31,TOTAL PUT/CALL RATIO,1.09
2023-11-01,TOTAL PUT/CALL RATIO,0.99
2023-11-02,TOTAL PUT/CALL RATIO,1.00
2023-11-03,TOTAL PUT/CALL RATIO,0.91
2023-11-06,TOTAL PUT/CALL RATIO,1.09
2023-11-07,TOTAL PUT/CALL RATIO,0.98
2023-11-08,TOTAL PUT/CALL RATIO,1.18
2023-11-09,TOTAL PUT/CALL RATIO,1.13
2023-11-10,TOTAL PUT/CALL RATIO,1.12
2023-11-13,TOTAL PUT/CALL RATIO,1.13
2023-11-14,TOTAL PUT/CALL RATIO,0.98
2023-11-15,TOTAL PUT/CALL RATIO,0.81
2023-11-16,TOTAL PUT/CALL RATIO,0.91
2023-11-17,TOTAL PUT/CALL RATIO,0.86
2023-11-20,TOTAL PUT/CALL RATIO,0.95
2023-11-21,TOTAL PUT/CALL RATIO,1.07
2023-11-22,TOTAL PUT/CALL RATIO,0.94
2023-11-24,TOTAL PUT/CALL RATIO,1.11
2023-11-27,TOTAL PUT/CALL RATIO,1.12
2023-11-28,TOTAL PUT/CALL RATIO,0.98
2023-11-29,TOTAL PUT/CALL RATIO,0.81
2023-11-30,TOTAL PUT/CALL RATIO,0.89
2023-12-01,TOTAL PUT/CALL RATIO,0.84
2023-12-04,TOTAL PUT/CALL RATIO,0.82
2023-12-05,TOTAL PUT/CALL RATIO,0.91
2023-12-06,TOTAL PUT/CALL RATIO,0.89
2023-12-07,TOTAL PUT/CALL RATIO,0.93
2023-12-08,TOTAL PUT/CALL RATIO,0.89
2023-12-11,TOTAL PUT/CALL RATIO,0.92
2023-12-12,TOTAL PUT/CALL RATIO,0.99
2023-12-13,TOTAL PUT/CALL RATIO,1.01
2023-12-14,TOTAL PUT/CALL RATIO,0.81
2023-12-15,TOTAL PUT/CALL RATIO,0.77
2023-12-18,TOTAL PUT/CALL RATIO,0.96
2023-12-19,TOTAL PUT/CALL RATIO,0.88
2023-12-20,TOTAL PUT/CALL RATIO,0.93
2023-12-22,TOTAL PUT/CALL RATIO,0.87
2023-12-26,TOTAL PUT/CALL RATIO,0.92
2023-12-27,TOTAL PUT/CALL RATIO,1.08
2023-12-28,TOTAL PUT/CALL RATIO,0.89
2023-12-29,TOTAL PUT/CALL RATIO,0.93
