User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Pheasant Energy | Pheasant Resources,@PheasantEnergy,2024-05-07T16:53:30.000Z,"Pheasant Energy | Pheasant Resources
@PheasantEnergy
·
May 7Altagas Posts Higher Profit YOY on Strong Midstream Performance  https://bit.ly/3UoxUQ4 #finance #pheasantenergy",,,
goldsheet,@goldsheet,2024-05-07T16:36:28.000Z,"goldsheet
@goldsheet
·
May 7AltaGas said it exported a first-quarter record of 115,108 barrels per day of liquified petroleum gases (LPGs) to Asia in the quarter.Altagas Posts Higher Profit YOY on Strong Midstream Performance",,,
نافذة على الأخبار,@NEWSDailyArabic,2024-05-07T16:31:19.000Z,"نافذة على الأخبار
@NEWSDailyArabic
·
May 7Altagas Posts Higher Profit YOY on Strong Midstream Performance -  https://en.newsdailyarabic.com/altagas-posts-higher-profit-yoy-on-strong-midstream-performance/…  

| #WorldNews | #Iraq |#US | #Iran | #Russia | #Ukraine",,,
マダラ,@am_mada5,2024-05-07T00:17:25.000Z,"マダラ
@am_mada5
·
May 7y’a nikos aliagas ou quoi au fond",,,
Alex McColl,@AlexRMcColl,2024-05-06T16:52:06.000Z,"Alex McColl
@AlexRMcColl
·
May 6Replying to 
@QSusieQQQ",,,6
Lucía Aliagas,@lurssia,2024-05-06T14:53:20.000Z,"Lucía Aliagas
@lurssia
·
May 6Replying to 
@lurssia
 and 
@ArnauBeReal",,,1
Lucía Aliagas,@lurssia,2024-05-06T14:51:24.000Z,"Lucía Aliagas
@lurssia
·
May 6Replying to 
@lurssia
 and 
@ArnauBeReal",1,,2
Lucía Aliagas,@lurssia,2024-05-06T14:47:40.000Z,"Lucía Aliagas
@lurssia
·
May 6Replying to 
@lurssia
 and 
@ArnauBeReal",1,,1
Nikos Aliagas,@nikosaliagas,2024-05-06T14:12:33.000Z,"Nikos Aliagas
@nikosaliagas
·
May 6Bernard Pivot s’est éteint à l’âge de 89 ans. 
https://instagram.com/p/C6oTvH2NTss/

Ses émissions ont accompagné les Français pendant plusieurs décennies, la littérature rentrait dans nos salons par la petite lucarne à une heure de grande écoute. Il vivait pour les mots, la transmission et…
Show more",1,16,49
Nikos Aliagas,@nikosaliagas,2024-05-06T13:01:00.000Z,"Nikos Aliagas
@nikosaliagas
·
May 6Η Φλόγα ταξιδεύει για τη Μασσαλία - Η ειδική αποστολή και η ιστορία του ιστιοφόρου Belem",,8,34
The-best-man-57,@The_best_man_57,2024-05-05T17:29:42.000Z,"The-best-man-57
@The_best_man_57
·
May 5""C'est classe !"" : Cette initiative insolite de Mika qui a séduit Nikos Aliagas dans The Voice 2024.
#TheVoice #Nikos #Mika",,,1
ElZar,@EzardMartinez,2024-05-05T12:13:55.000Z,"ElZar
@EzardMartinez
·
May 5Replying to 
@LaTubilla",,,1
Voici,@voici,2024-05-05T10:25:36.000Z,"Voici
@voici
·
May 5« Pour la petite histoire… » : Nikos Aliagas fait une révélation de taille au sujet de deux candidats dans The Voice
 https://l.voici.fr/VeV",,,1
S,@s_aliagas,2024-05-05T09:28:21.000Z,"S
@s_aliagas
·
May 5Replying to 
@mundocelest
 @ibizaud
 and 6 others",,,1
Sr Sparks,@sr_sparks,2024-05-05T09:20:52.000Z,"Sr Sparks
@sr_sparks
·
May 5Derecha be like 
-Tenemos a la Vaca Patizamba de Miraculos de Arriba, raza autóctona, que vive de aliagas y bebe aproximadamente un dedal, pero solo produce 29'5L de leche
- Ah no, que les jodan, que las Hosltein producen 30

-Vamos a prohibir el toreo
-NO MI TORITO DE LIDIA NO",2,7,29
Tele-Loisirs.fr,@TeleLoisirs,2024-05-04T21:59:37.000Z,"Tele-Loisirs.fr
@TeleLoisirs
·
May 4""C'est classe !"" : Cette initiative insolite de Mika qui a séduit Nikos Aliagas dans The Voice 2024 https://programme-tv.net/news/tv/352374-c-est-classe-cette-initiative-insolite-de-mika-qui-a-seduit-nikos-aliagas-dans-the-voice-2024/?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1714859921…",,1,4
Lucía Aliagas,@lurssia,2024-05-04T19:31:21.000Z,"Lucía Aliagas
@lurssia
·
May 4La meva relació més tòxica",1,,14
Lucía Aliagas,@lurssia,2024-05-04T16:31:37.000Z,"Lucía Aliagas
@lurssia
·
May 4Replying to 
@MiguelBPedro",1,,2
Lucía Aliagas,@lurssia,2024-05-04T11:03:30.000Z,"Lucía Aliagas
@lurssia
·
May 4Que Palestina sigui el seu nou Vietnam.",1,14,37
Canadian Fred,@CanTNSF,2024-05-04T05:25:20.000Z,"Canadian Fred
@CanTNSF
·
May 4Replying to 
@CanTNSF
 and 
@JeffWatsonYYC",,1,4
People Actu,@Peopleactua,2024-05-04T04:04:36.000Z,"People Actu
@Peopleactua
·
May 4""The Voice"" : la grosse boulette de Nikos Aliagas au sujet de Lorie - Public",,,
charcito,@chars2100,2024-05-04T00:55:46.000Z,"charcito
@chars2100
·
May 4Replying to 
@willaxtv",,,1
Felinoda,@hverger,2024-05-03T20:05:54.000Z,"Felinoda
@hverger
·
May 3#MaskSinger cette émission n’a aucun intérêt.. heureusement Camille fait le show.. présentée par Nikos Aliagas.. ce serait  NON regardable..",1,3,5
Nikos Aliagas,@nikosaliagas,2024-05-02T20:06:58.000Z,"Nikos Aliagas
@nikosaliagas
·
May 2Μεσολόγγι: Το «αλωνάκι» της μνήμης – Στο περιοδικό «Κ» εκτάκτως το Μ. Σάββατο 4/5 με την «Καθημερινή της Κυριακής» 
@Kathimerini_gr",1,11,37
Hugobc59,@Hugo59152,2024-05-02T19:27:58.000Z,"Hugobc59
@Hugo59152
·
May 2Replying to 
@wirozz_",2,,2
