"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"22/08/2024","1,24","3,15","13,42","0,56","0,00K","-1,35%"
"21/08/2024","1,26","0,01","1,28","0,01","0,00K","-59,58%"
"20/08/2024","3,11","3,00","81,88","0,87","0,00K","154,26%"
"19/08/2024","1,22","0,02","1,22","0,02","0,00K","-17,38%"
"16/08/2024","1,48","0,03","1,73","0,01","0,00K","153,69%"
"15/08/2024","0,58","2,50","5,00","0,24","0,00K","-47,95%"
"14/08/2024","1,12","0,04","15,85","0,04","0,00K","-7,97%"
"13/08/2024","1,22","1,46","2,14","0,72","0,00K","-71,83%"
"12/08/2024","4,32","1,00","73,00","0,92","0,00K","1.096,68%"
"09/08/2024","0,36","0,50","2,50","0,00","0,00K","-89,32%"
"08/08/2024","3,38","3,00","20,00","0,14","0,00K","-12,64%"
"07/08/2024","3,87","4,10","6,87","0,25","0,00K","243,69%"
"06/08/2024","1,13","1,00","2,30","0,09","0,00K","42,35%"
"05/08/2024","0,79","0,33","2,14","0,30","0,00K","-64,37%"
"02/08/2024","2,22","1,00","3,41","0,05","0,00K","-11,62%"
"31/07/2024","2,51","0,50","11,68","0,02","0,00K","537,56%"
"30/07/2024","0,39","0,10","2,95","0,08","0,00K","-81,55%"
"29/07/2024","2,14","1,99","2,42","1,99","0,00K","403,77%"
"26/07/2024","0,42","31,00","49,00","0,12","0,00K","-86,08%"
"25/07/2024","3,05","0,03","3,10","0,03","0,00K","-13,76%"
"24/07/2024","3,53","29,00","96,82","2,57","0,00K","-93,47%"
"23/07/2024","54,04","6,50","54,04","1,10","0,00K","2.087,17%"
"22/07/2024","2,47","10,40","10,40","0,65","0,00K","121,22%"
"19/07/2024","1,12","0,42","1,12","0,07","0,00K","-17,63%"
"18/07/2024","1,36","0,29","4,49","0,22","0,00K","-24,92%"
"17/07/2024","1,81","0,09","5,05","0,09","0,00K","396,15%"
"16/07/2024","0,36","1,00","24,00","0,23","0,00K","-66,48%"
"15/07/2024","1,09","5,00","6,75","0,05","0,00K","10,37%"
"12/07/2024","0,98","1,00","26,11","0,12","0,00K","84,96%"
"11/07/2024","0,53","1,60","1,60","0,08","0,00K","1.946,15%"
"10/07/2024","0,03","0,29","0,29","0,00","0,00K","-95,62%"
"09/07/2024","0,59","1,70","1,74","0,11","0,00K","-32,69%"
"08/07/2024","0,88","59,00","59,00","0,44","0,00K","433,94%"
"05/07/2024","0,17","1,00","36,67","0,06","0,00K","-60,90%"
"04/07/2024","0,42","1,00","1,05","0,19","0,00K","-39,02%"
"03/07/2024","0,69","4,20","5,93","0,17","0,00K","22,91%"
"02/07/2024","0,56","12,00","14,71","0,34","0,00K","-40,86%"
"01/07/2024","0,95","0,15","1,73","0,04","0,00K","11,21%"
"28/06/2024","0,86","0,33","0,91","0,00","0,00K","-38,11%"
"27/06/2024","1,38","50,00","62,50","0,42","0,00K","-18,31%"
"26/06/2024","1,69","1,00","2,32","0,05","0,00K","334,10%"
"25/06/2024","0,39","1,71","25,78","0,06","0,00K","-68,57%"
"24/06/2024","1,24","0,20","6,20","0,14","0,00K","62,43%"
"21/06/2024","0,76","0,32","4,91","0,17","0,00K","-47,16%"
"20/06/2024","1,45","0,00","3,81","0,00","0,00K","339,51%"
"19/06/2024","0,33","6,25","22,60","0,33","0,00K","-34,59%"
"18/06/2024","0,50","10,00","11,00","0,05","0,00K","-78,81%"
"17/06/2024","2,37","1,00","21,40","0,37","0,00K","61,39%"
"14/06/2024","1,47","80,67","80,67","1,34","0,00K","-29,62%"
"13/06/2024","2,09","2,00","84,50","1,54","0,00K","60,65%"
"12/06/2024","1,30","80,50","80,50","0,32","0,00K","232,74%"
"11/06/2024","0,39","2,00","2,99","0,17","0,00K","-49,48%"
"10/06/2024","0,77","0,19","1,58","0,07","0,00K","-73,06%"
"07/06/2024","2,87","1,00","14,55","0,13","0,00K","47,26%"
"06/06/2024","1,95","1,00","4,00","0,01","0,00K","159,10%"
"05/06/2024","0,75","0,33","3,00","0,04","0,00K","68,08%"
"04/06/2024","0,45","0,00","0,85","0,00","0,00K","-26,56%"
"03/06/2024","0,61","0,50","2,77","0,00","0,00K","-75,79%"
"31/05/2024","2,52","0,13","2,59","0,13","0,00K","-1,41%"
"30/05/2024","2,56","0,40","24,07","0,40","0,00K","406,14%"
"29/05/2024","0,50","1,00","49,00","0,19","0,00K","-85,20%"
"28/05/2024","3,41","1,00","26,00","0,09","0,00K","812,30%"
"27/05/2024","0,37","10,00","10,00","0,03","0,00K","-97,69%"
"24/05/2024","16,19","0,37","18,84","0,13","0,00K","2.625,25%"
"23/05/2024","0,59","4,34","4,34","0,10","0,00K","-94,55%"
"22/05/2024","10,90","17,00","39,85","1,25","0,00K","1.374,42%"
"21/05/2024","0,74","0,20","1,03","0,01","0,00K","-52,66%"
"17/05/2024","1,56","2,50","2,50","0,04","0,00K","102,99%"
"16/05/2024","0,77","2,75","2,75","0,38","0,00K","-8,34%"
"15/05/2024","0,84","0,67","12,00","0,03","0,00K","39,83%"
"14/05/2024","0,60","49,00","59,50","0,29","0,00K","-81,52%"
"13/05/2024","3,25","27,00","95,00","2,73","0,00K","278,88%"
"10/05/2024","0,86","16,00","16,00","0,17","0,00K","-43,06%"
"08/05/2024","1,50","0,16","2,34","0,10","","57,59%"
"07/05/2024","0,95","1,00","23,30","0,30","","-26,65%"
"06/05/2024","1,30","0,50","51,00","0,33","","497,25%"
"03/05/2024","0,22","0,33","1,14","0,04","","-26,10%"
"02/05/2024","0,29","0,50","10,50","0,19","","-72,53%"
"30/04/2024","1,07","3,00","68,50","0,48","","51,48%"
"29/04/2024","0,71","2,00","49,50","0,71","","-53,93%"
"26/04/2024","1,54","1,00","6,00","0,35","","-15,99%"
"25/04/2024","1,83","0,30","3,37","0,02","","118,88%"
"24/04/2024","0,84","0,49","3,98","0,44","","16,41%"
"23/04/2024","0,72","0,20","11,43","0,20","","142,09%"
"22/04/2024","0,30","4,00","4,00","0,10","","-80,19%"
"19/04/2024","1,50","5,00","7,00","0,05","","119,79%"
"18/04/2024","0,68","0,50","5,50","0,01","","38,34%"
"17/04/2024","0,49","1,29","16,57","0,25","","-15,73%"
"16/04/2024","0,58","6,00","20,00","0,26","","-42,19%"
"15/04/2024","1,01","51,50","52,50","0,98","","-81,27%"
"12/04/2024","5,40","4,00","23,00","0,30","","64,09%"
"11/04/2024","3,29","2,00","7,72","0,04","","160,24%"
"10/04/2024","1,26","2,00","93,73","1,26","","202,63%"
"09/04/2024","0,42","9,00","55,00","0,18","","-85,41%"
"08/04/2024","2,86","1,00","13,20","0,17","","125,33%"
"05/04/2024","1,27","5,00","99,50","0,35","","-61,37%"
"04/04/2024","3,29","0,50","5,60","0,50","","222,87%"
"03/04/2024","1,02","6,00","6,00","0,52","","54,86%"
"02/04/2024","0,66","1,00","35,00","0,10","","271,75%"
"28/03/2024","0,18","33,00","44,00","0,13","","-94,52%"
"27/03/2024","3,23","5,00","6,25","0,05","","740,36%"
"26/03/2024","0,38","5,00","5,00","0,00","","-59,11%"
"25/03/2024","0,94","2,00","18,00","0,52","","-76,13%"
"22/03/2024","3,93","5,00","5,46","0,04","","-34,96%"
"21/03/2024","6,05","83,33","83,33","1,75","","620,74%"
"20/03/2024","0,84","1,00","81,40","0,84","","54,51%"
"19/03/2024","0,54","12,89","12,89","0,40","","-56,03%"
"18/03/2024","1,24","16,00","16,00","0,08","","-63,64%"
"15/03/2024","3,40","28,00","28,00","0,70","","298,71%"
"14/03/2024","0,85","6,00","8,00","0,04","","-50,58%"
"13/03/2024","1,72","52,00","52,00","0,38","","673,09%"
"12/03/2024","0,22","8,00","10,00","0,05","","0,00%"
"11/03/2024","0,22","1,00","12,00","0,05","","-67,11%"
"08/03/2024","0,68","0,50","7,91","0,32","","-66,54%"
"07/03/2024","2,04","1,00","78,00","0,46","","1.148,47%"
"06/03/2024","0,16","2,00","6,67","0,05","","-93,21%"
"05/03/2024","2,40","0,50","11,50","0,50","","114,57%"
"04/03/2024","1,12","2,00","5,48","0,06","","94,27%"
"01/03/2024","0,58","2,00","87,86","0,34","","-40,25%"
"29/02/2024","0,96","1,00","10,00","0,50","","-19,13%"
"28/02/2024","1,19","1,00","1,19","0,00","","83,67%"
"27/02/2024","0,65","0,33","27,50","0,33","","-59,89%"
"26/02/2024","1,62","1,00","41,00","0,19","","98,77%"
"23/02/2024","0,81","16,00","67,71","0,58","","-20,66%"
"22/02/2024","1,03","0,40","11,29","0,05","","15,80%"
"21/02/2024","0,89","1,00","23,00","0,05","","-43,02%"
