Date,Close,Daily Return,Volatility (%),Put-Call Ratio,PCR Sentiment,Consecutive Signal,Signal Streak,Initial Weight,Adjusted Weight,Normalized Weight,Portfolio Return
2023-01-03,56.64609146118164,0.0,28.04709921565334,0.0,Bullish,1,1,0.2,0.25,0.0028620492272467086,0.0
2023-01-04,57.91001510620117,2.231263644881265,28.04709921565334,0.0,Bullish,1,2,0.2,0.30000000000000004,0.003434459072696051,0.0076631836687393205
2023-01-05,58.42665863037109,0.8921488333623273,28.04709921565334,0.0,Bullish,1,3,0.2,0.35000000000000003,0.004006868918145392,0.0035747234307591824
2023-01-06,60.92683029174805,4.279162491892574,28.04709921565334,0.0,Bullish,1,4,0.2,0.35000000000000003,0.004006868918145392,0.01714604318445794
2023-01-09,60.53935241699219,-0.6359724819105517,28.04709921565334,0.0,Bullish,1,5,0.2,0.35000000000000003,0.004006868918145392,-0.0025482583705631725
2023-01-10,61.60953521728516,1.767747353690874,28.04709921565334,0.0,Bullish,1,6,0.2,0.35000000000000003,0.004006868918145392,0.007083131926637733
2023-01-11,62.08927917480469,0.7786845913178242,28.04709921565334,0.0,Bullish,1,7,0.2,0.35000000000000003,0.004006868918145392,0.0031200870859901374
2023-01-12,63.6484260559082,2.5111370301367675,28.04709921565334,0.0,Bullish,1,8,0.2,0.35000000000000003,0.004006868918145392,0.010061796915258943
2023-01-13,63.91597366333008,0.4203522757764144,28.04709921565334,0.0,Bullish,1,9,0.2,0.35000000000000003,0.004006868918145392,0.001684296468480195
2023-01-17,62.51366424560547,-2.1939889785785205,28.04709921565334,0.0,Bullish,1,10,0.2,0.35000000000000003,0.004006868918145392,-0.008791026245019831
2023-01-18,62.79043197631836,0.4427315756528438,28.04709921565334,0.0,Bullish,1,11,0.2,0.35000000000000003,0.004006868918145392,0.0017739673895649153
2023-01-19,63.54694366455078,1.2048200090704064,28.04709921565334,0.0,Bullish,1,12,0.2,0.35000000000000003,0.004006868918145392,0.004827555846303861
2023-01-20,64.08203887939453,0.842047129234702,28.04709921565334,0.0,Bullish,1,13,0.2,0.35000000000000003,0.004006868918145392,0.003373972469744084
2023-01-23,64.00823211669922,-0.1151754282260331,28.04709921565334,0.0,Bullish,1,14,0.2,0.35000000000000003,0.004006868918145392,-0.00046149284349297754
2023-01-24,64.35881042480469,0.5477081564544628,28.04709921565334,0.0,Bullish,1,15,0.2,0.35000000000000003,0.004006868918145392,0.0021945947883121007
2023-01-25,65.28138732910156,1.4334896779591544,28.04709921565334,0.0,Bullish,1,16,0.2,0.35000000000000003,0.004006868918145392,0.005743805235096784
2023-01-26,65.7242202758789,0.6783448773000078,28.04709921565334,0.0,Bullish,1,17,0.2,0.35000000000000003,0.004006868918145392,0.0027180390046365513
2023-01-27,64.46952056884766,-1.9090370365211216,28.04709921565334,0.0,Bullish,1,18,0.2,0.35000000000000003,0.004006868918145392,-0.007649261165224872
2023-01-30,64.27577209472656,-0.3005272451408802,28.04709921565334,0.0,Bullish,1,19,0.2,0.35000000000000003,0.004006868918145392,-0.0012041732776108538
