Date,Ratio Name,Ratio Value
2024-01-02,TOTAL PUT/CALL RATIO,0.94
2024-01-03,TOTAL PUT/CALL RATIO,1.05
2024-01-04,TOTAL PUT/CALL RATIO,0.95
2024-01-05,TOTAL PUT/CALL RATIO,1.18
