Date,BHP_Group_Weight,BP_PLC_Weight,FMC_Corp_Weight,Stora_Enso_Weight,Total_Energies_Weight
2019-10-07,0.2,0.2,0.2,0.2,0.2
2019-10-08,0.2,0.2,0.2,0.2,0.2
2019-10-09,0.18750000000000003,0.20833333333333334,0.18750000000000003,0.20833333333333334,0.20833333333333334
2019-10-10,0.18750000000000003,0.20833333333333334,0.18750000000000003,0.20833333333333334,0.20833333333333334
2019-10-11,0.18750000000000003,0.20833333333333334,0.18750000000000003,0.20833333333333334,0.20833333333333334
2019-10-14,0.20000000000000004,0.2,0.20000000000000004,0.2,0.2
2019-10-15,0.2127659574468085,0.19148936170212766,0.2127659574468085,0.19148936170212766,0.19148936170212766
2019-10-16,0.22573363431151242,0.18284424379232506,0.22573363431151242,0.18284424379232506,0.18284424379232506
2019-10-17,0.23883448770002386,0.1741103415333174,0.23883448770002386,0.1741103415333174,0.1741103415333174
2019-10-18,0.2519970768339087,0.16533528211072754,0.2519970768339087,0.16533528211072754,0.16533528211072754
2019-10-21,0.26514860253429035,0.15656759831047312,0.26514860253429035,0.15656759831047312,0.15656759831047312
2019-10-22,0.2782165097571921,0.14785566016187196,0.2782165097571921,0.14785566016187196,0.14785566016187196
2019-10-23,0.29113007875330643,0.13924661416446238,0.29113007875330643,0.13924661416446238,0.13924661416446238
2019-10-24,0.30382193132717134,0.1307853791152191,0.30382193132717134,0.1307853791152191,0.1307853791152191
2019-10-25,0.31622938534196793,0.1225137431053547,0.31622938534196793,0.1225137431053547,0.1225137431053547
2019-10-28,0.3282956022655414,0.11446959848963906,0.3282956022655414,0.11446959848963906,0.11446959848963906
2019-10-29,0.3399704878378801,0.1066863414414133,0.3399704878378801,0.1066863414414133,0.1066863414414133
2019-10-30,0.35121132318076614,0.09919245121282252,0.35121132318076614,0.09919245121282252,0.09919245121282252
2019-10-31,0.3619831211047816,0.09201125259681228,0.3619831211047816,0.09201125259681228,0.09201125259681228
2019-11-01,0.3619831211047816,0.09201125259681228,0.3619831211047816,0.09201125259681228,0.09201125259681228
2019-11-04,0.3619831211047816,0.09201125259681228,0.3619831211047816,0.09201125259681228,0.09201125259681228
2019-11-05,0.3619831211047816,0.09201125259681228,0.3619831211047816,0.09201125259681228,0.09201125259681228
2019-11-06,0.3619831211047816,0.09201125259681228,0.3619831211047816,0.09201125259681228,0.09201125259681228
2019-11-07,0.3619831211047816,0.09201125259681228,0.3619831211047816,0.09201125259681228,0.09201125259681228
2019-11-08,0.3619831211047816,0.09201125259681228,0.3619831211047816,0.09201125259681228,0.09201125259681228
2019-11-11,0.37225871839568275,0.08516085440287811,0.37225871839568275,0.08516085440287811,0.08516085440287811
2019-11-12,0.3820186282290225,0.07865424784731832,0.3820186282290225,0.07865424784731832,0.07865424784731832
2019-11-13,0.3912506867754433,0.07249954214970449,0.3912506867754433,0.07249954214970449,0.07249954214970449
2019-11-14,0.3999495342093939,0.06670031052707076,0.3999495342093939,0.06670031052707076,0.06670031052707076
2019-11-15,0.4081159728453465,0.06125601810310232,0.4081159728453465,0.06125601810310232,0.06125601810310232
2019-11-18,0.41575624445641646,0.056162503695722295,0.41575624445641646,0.056162503695722295,0.056162503695722295
2019-11-19,0.4228812656498907,0.05141248956673957,0.4228812656498907,0.05141248956673957,0.05141248956673957
2019-11-20,0.4246808374059811,0.05021277506267922,0.4246808374059811,0.05021277506267922,0.05021277506267922
2019-11-21,0.4249520950319494,0.05003193664536705,0.4249520950319494,0.05003193664536705,0.05003193664536705
2019-11-22,0.4249928135662606,0.050004790955826224,0.4249928135662606,0.050004790955826224,0.050004790955826224
2019-11-25,0.4249989220194454,0.05000071865370305,0.4249989220194454,0.05000071865370305,0.05000071865370305
2019-11-26,0.4249998383025682,0.05000010779828787,0.4249998383025682,0.05000010779828787,0.05000010779828787
2019-11-27,0.4249999757453774,0.05000001616974841,0.4249999757453774,0.05000001616974841,0.05000001616974841
2019-11-28,0.42499998261752014,0.050000016978236105,0.42499998261752014,0.050000016978236105,0.05000000080848743
2019-11-29,0.42499998296112734,0.05000001701866049,0.42499998296112734,0.05000001701866049,0.050000000040424375
2019-12-02,0.42499998297830766,0.05000001702068171,0.42499998297830766,0.05000001702068171,0.05000000000202122
2019-12-03,0.424999997446746,0.05000000170216929,0.424999997446746,0.05000000170216929,0.05000000170216929
2019-12-04,0.42499999961701185,0.050000000255325396,0.42499999961701185,0.050000000255325396,0.050000000255325396
2019-12-05,0.4249999999425517,0.05000000003829881,0.4249999999425517,0.05000000003829881,0.05000000003829881
2019-12-06,0.42499999999138277,0.05000000000574483,0.42499999999138277,0.05000000000574483,0.05000000000574483
2019-12-09,0.4249999999987074,0.05000000000086172,0.4249999999987074,0.05000000000086172,0.05000000000086172
2019-12-10,0.42499999999980603,0.050000000000129254,0.42499999999980603,0.050000000000129254,0.050000000000129254
2019-12-11,0.4249999999999709,0.0500000000000194,0.4249999999999709,0.0500000000000194,0.0500000000000194
2019-12-12,0.4249999999999956,0.05000000000000291,0.4249999999999956,0.05000000000000291,0.05000000000000291
2019-12-13,0.42499999999999927,0.05000000000000043,0.42499999999999927,0.05000000000000043,0.05000000000000043
2019-12-16,0.4249999999999998,0.05000000000000007,0.4249999999999998,0.05000000000000007,0.05000000000000007
2019-12-17,0.42499999999999993,0.05000000000000002,0.42499999999999993,0.05000000000000002,0.05000000000000002
2019-12-18,0.42499999999999993,0.05,0.42499999999999993,0.05,0.05
2019-12-19,0.42499999999999993,0.05,0.42499999999999993,0.05,0.05
