Date,BHP_Group_Normalized_Weight,BP_PLC_Normalized_Weight,FMC_Corp_Normalized_Weight,Stora_Enso_Normalized_Weight,Total_Energies_Normalized_Weight
2019-10-07,0.2,0.2,0.2,0.2,0.2
2019-10-08,0.2,0.2,0.2,0.2,0.2
2019-10-09,0.18750000000000003,0.20833333333333334,0.18750000000000003,0.20833333333333334,0.20833333333333334
2019-10-10,0.18750000000000003,0.20833333333333334,0.18750000000000003,0.20833333333333334,0.20833333333333334
2019-10-11,0.18750000000000003,0.20833333333333334,0.18750000000000003,0.20833333333333334,0.20833333333333334
2019-10-14,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998
2019-10-15,0.21276595744680848,0.19148936170212766,0.21276595744680848,0.19148936170212766,0.19148936170212766
2019-10-16,0.2257336343115124,0.18284424379232506,0.2257336343115124,0.18284424379232506,0.18284424379232506
2019-10-17,0.23883448770002388,0.17411034153331742,0.23883448770002388,0.17411034153331742,0.17411034153331742
2019-10-18,0.2519970768339087,0.1653352821107275,0.2519970768339087,0.1653352821107275,0.1653352821107275
2019-10-21,0.2651486025342903,0.15656759831047312,0.2651486025342903,0.15656759831047312,0.15656759831047312
2019-10-22,0.27821650975719203,0.14785566016187196,0.27821650975719203,0.14785566016187196,0.14785566016187196
2019-10-23,0.29113007875330643,0.13924661416446238,0.29113007875330643,0.13924661416446238,0.13924661416446238
2019-10-24,0.3038219313271714,0.13078537911521912,0.3038219313271714,0.13078537911521912,0.13078537911521912
2019-10-25,0.316229385341968,0.1225137431053547,0.316229385341968,0.1225137431053547,0.1225137431053547
2019-10-28,0.32829560226554144,0.11446959848963904,0.32829560226554144,0.11446959848963904,0.11446959848963904
2019-10-29,0.3399704878378801,0.10668634144141328,0.3399704878378801,0.10668634144141328,0.10668634144141328
2019-10-30,0.3512113231807662,0.09919245121282252,0.3512113231807662,0.09919245121282252,0.09919245121282252
2019-10-31,0.36198312110478154,0.09201125259681227,0.36198312110478154,0.09201125259681227,0.09201125259681227
2019-11-01,0.36198312110478154,0.09201125259681227,0.36198312110478154,0.09201125259681227,0.09201125259681227
2019-11-04,0.36198312110478154,0.09201125259681227,0.36198312110478154,0.09201125259681227,0.09201125259681227
2019-11-05,0.36198312110478154,0.09201125259681227,0.36198312110478154,0.09201125259681227,0.09201125259681227
2019-11-06,0.36198312110478154,0.09201125259681227,0.36198312110478154,0.09201125259681227,0.09201125259681227
2019-11-07,0.36198312110478154,0.09201125259681227,0.36198312110478154,0.09201125259681227,0.09201125259681227
2019-11-08,0.36198312110478154,0.09201125259681227,0.36198312110478154,0.09201125259681227,0.09201125259681227
2019-11-11,0.3722587183956828,0.08516085440287813,0.3722587183956828,0.08516085440287813,0.08516085440287813
2019-11-12,0.3820186282290225,0.07865424784731832,0.3820186282290225,0.07865424784731832,0.07865424784731832
2019-11-13,0.3912506867754433,0.07249954214970449,0.3912506867754433,0.07249954214970449,0.07249954214970449
2019-11-14,0.3999495342093939,0.06670031052707076,0.3999495342093939,0.06670031052707076,0.06670031052707076
2019-11-15,0.4081159728453465,0.06125601810310232,0.4081159728453465,0.06125601810310232,0.06125601810310232
2019-11-18,0.4157562444564165,0.05616250369572231,0.4157562444564165,0.05616250369572231,0.05616250369572231
2019-11-19,0.4228812656498906,0.051412489566739564,0.4228812656498906,0.051412489566739564,0.051412489566739564
2019-11-20,0.42950585524030943,0.046996096506460375,0.42950585524030943,0.046996096506460375,0.046996096506460375
2019-11-21,0.4356479816163758,0.042901345589082804,0.4356479816163758,0.042901345589082804,0.042901345589082804
2019-11-22,0.4413280517968639,0.03911463213542402,0.4413280517968639,0.03911463213542402,0.03911463213542402
2019-11-25,0.4465682577342537,0.03562116151049751,0.4465682577342537,0.03562116151049751,0.03562116151049751
2019-11-26,0.4513919898265001,0.03240534011566659,0.4513919898265001,0.03240534011566659,0.03240534011566659
2019-11-27,0.45582332276859094,0.029451118154272704,0.45582332276859094,0.029451118154272704,0.029451118154272704
2019-11-28,0.4571697387678921,0.029538111194557203,0.4571697387678921,0.029538111194557203,0.02658430007510148
2019-11-29,0.45838833206494606,0.029616845505376486,0.45838833206494606,0.029616845505376486,0.023989644859354953
2019-12-02,0.45949063377699706,0.02968806612165845,0.45949063377699706,0.02968806612165845,0.02164260020268901
2019-12-03,0.4632437761325733,0.026937503750404327,0.4632437761325733,0.026937503750404327,0.01963744023404476
2019-12-04,0.46667441397925763,0.02442329499504753,0.46667441397925763,0.02442329499504753,0.017804582051389652
2019-12-05,0.4698057241941918,0.0221284542365762,0.4698057241941918,0.0221284542365762,0.016131643138464047
2019-12-06,0.47266004977525194,0.0200366069803943,0.47266004977525194,0.0200366069803943,0.014606686488707443
2019-12-09,0.47525875994339756,0.018132092382999215,0.47525875994339756,0.018132092382999215,0.013218295347206428
2019-12-10,0.47762215281120823,0.016400034583211258,0.47762215281120823,0.016400034583211258,0.011955625211161006
2019-12-11,0.47976939404838304,0.014826387652339299,0.47976939404838304,0.014826387652339299,0.01080843659855535
2019-12-12,0.4817184854200114,0.013397958651512328,0.4817184854200114,0.013397958651512328,0.009767111856952488
2019-12-13,0.4834862576336422,0.012102412873842337,0.4834862576336422,0.012102412873842337,0.008822658985031064
2019-12-16,0.48508838254850606,0.010928264896661058,0.48508838254850606,0.010928264896661058,0.007966705109665911
2019-12-17,0.4865394004313684,0.00986485860654573,0.4865394004313684,0.00986485860654573,0.007191481924171837
2019-12-18,0.4878527585576477,0.008902338909748833,0.4878527585576477,0.008902338909748833,0.0064898050652068984
